,Region,dVCR,VCR,UCR,loc,meanVIT,VUH,meet,meanVUH
60,7754655,218284.0,0.0126976135939,0.919241982507,"(39.90359389038634, 116.47151230949591)",68.97297862,805,20.1686103013,5.82351797862
61,6971350,1172311.0,0.0130471716698,0.919533527697,"(40.072057502246182, 116.56529894490036)",70.8717654681,323,20.6749271137,5.85490767736
62,7979788,485325.0,0.0131918852084,0.920505344995,"(39.824977538185081, 116.44454865181712)",71.6578441853,549,20.8489795918,5.90826044704
63,6966451,1127415.0,0.013528056257,0.920796890185,"(40.071608265947887, 116.56588511137164)",73.4839131843,334,21.5252672498,5.9407191448
64,6981145,894929.0,0.013794904951,0.921282798834,"(40.071608265947887, 116.5641266119578)",74.933425656,547,22.0869776482,5.99387755102
65,9077096,884073.0,0.0140585166178,0.921768707483,"(39.895058400718774, 116.31324736225089)",76.3653547133,519,22.4290573372,6.0443148688
66,7480604,1259810.0,0.0144341650248,0.921865889213,"(40.010062893081759, 116.50433763188747)",78.4058632977,130,22.8771622935,6.05694849368
67,8538178,1054227.0,0.0147485129765,0.922157434402,"(39.833063791554359, 116.37772567409145)",80.1133900227,521,23.4227405248,6.10758017493
68,6971349,1227736.0,0.0151145976024,0.922254616132,"(40.071608265947887, 116.56529894490036)",82.1019484937,369,23.9243926142,6.14344023324
69,6966450,1078766.0,0.0154362625593,0.922448979592,"(40.071159029649593, 116.56588511137164)",83.8492209265,339,24.3501457726,6.17638483965
70,7505087,1162431.0,0.0157828746304,0.922546161322,"(40.006918238993713, 116.50140679953107)",85.732005183,167,24.7015549077,6.19261418853
71,8768603,198185.0,0.0158419691602,0.92361516035,"(39.931446540880501, 116.35017584994139)",86.0530045351,697,24.804664723,6.26034985423
72,6981144,1049970.0,0.0161550477655,0.92380952381,"(40.071159029649593, 116.5641266119578)",87.7536362164,757,25.2619047619,6.33391642371
73,8024086,281874.0,0.0162390965658,0.924781341108,"(39.922012578616354, 116.43927315357563)",88.210186265,1039,25.431292517,6.43488824101
74,7480605,1229945.0,0.0166058398682,0.924781341108,"(40.010512129380054, 116.50433763188747)",90.2023226433,119,25.8437317784,6.44645286686
