,Region,dVCR,VCR,dUCR,UCR,loc
51,8641291,283074.0,0.00761964690696,1076,0.911467444121,"(39.94761904761905, 116.36541617819461)"
52,7989585,1316623.0,0.00801223573581,626,0.912925170068,"(39.825426774483375, 116.44337631887457)"
53,8778409,284613.0,0.0080971012473,773,0.914382896016,"(39.93593890386343, 116.34900351699883)"
54,8249326,306285.0,0.00818842888585,1095,0.915257531584,"(39.891464510332433, 116.41230949589684)"
55,6839100,443659.0,0.0083207185141,959,0.916229348882,"(40.070260557053011, 116.58112543962486)"
56,9106464,248039.0,0.00839467844076,800,0.9175898931,"(39.886073674752922, 116.30973036342321)"
57,8773500,273438.0,0.00847621180619,982,0.917978620019,"(39.930997304582206, 116.34958968347011)"
58,9096866,231885.0,0.00854535495542,808,0.918950437318,"(39.975022461814916, 116.31090269636577)"
59,7754665,277221.0,0.00862801633056,889,0.919922254616,"(39.90808625336927, 116.47151230949591)"
60,8533402,286999.0,0.00871359329625,1001,0.920505344995,"(39.887870619946092, 116.37831184056273)"
61,8641290,288418.0,0.00879959337739,1031,0.920796890185,"(39.947169811320755, 116.36541617819461)"
62,8024086,281874.0,0.00888364217765,1039,0.921379980564,"(39.922012578616354, 116.43927315357563)"
63,6858640,364560.0,0.00899234617526,1208,0.921768707483,"(40.04690026954178, 116.57878077373975)"
64,9052607,458666.0,0.00912911057006,1109,0.922157434402,"(39.895507637017069, 116.31617819460728)"
65,7886965,356834.0,0.00923551083966,1041,0.922740524781,"(39.932345013477089, 116.4556858147714)"
66,8797971,240759.0,0.00930730002596,995,0.923129251701,"(39.922461814914641, 116.34665885111372)"
67,7891865,299999.0,0.00939675331371,1018,0.92361516035,"(39.933243486073671, 116.45509964830012)"
68,6853743,331106.0,0.00949548204377,1112,0.924101068999,"(40.047349505840067, 116.57936694021103)"
69,8768558,238474.0,0.00956658989193,779,0.924975704568,"(39.911230907457323, 116.35017584994139)"
70,6839098,424230.0,0.00969308620778,952,0.925267249757,"(40.069362084456422, 116.58112543962486)"
71,8656028,270414.0,0.00977371788106,940,0.925850340136,"(39.966936208445638, 116.36365767878078)"
72,8224776,256271.0,0.00985013241412,993,0.926239067055,"(39.864510332434861, 116.41524032825323)"
73,8778417,202019.0,0.0099103701607,803,0.927016520894,"(39.939532794249772, 116.34900351699883)"
74,7671577,299225.0,0.00999959265819,956,0.927308066084,"(39.988050314465404, 116.48147713950763)"
75,8249344,268946.0,0.0100797866053,964,0.927988338192,"(39.899550763701704, 116.41230949589684)"
76,9106684,219815.0,0.0101453307385,692,0.928765792031,"(39.984905660377358, 116.30973036342321)"
77,9464063,223086.0,0.0102118502141,729,0.92915451895,"(39.906289308176099, 116.26694021101993)"
78,8180790,280006.0,0.0102953420167,979,0.92954324587,"(39.907637017070975, 116.42051582649474)"
79,9062396,318919.0,0.0103904368439,758,0.929737609329,"(39.892362982929022, 116.31500586166472)"
80,6839102,443610.0,0.0105227118614,938,0.930029154519,"(40.071159029649593, 116.58112543962486)"
81,9155497,177964.0,0.0105757769213,705,0.930709426628,"(39.90988319856244, 116.30386869871045)"
82,7754653,277529.0,0.0106585301355,772,0.931292517007,"(39.902695417789758, 116.47151230949591)"
83,8709729,227411.0,0.0107263392336,759,0.931584062196,"(39.887421383647798, 116.35720984759672)"
84,8572684,228592.0,0.0107945004806,885,0.932167152575,"(39.931895777178795, 116.37362250879251)"
85,8651130,241579.0,0.0108665341734,877,0.932555879495,"(39.966936208445638, 116.36424384525206)"
86,8254225,306629.0,0.0109579643854,1117,0.932750242954,"(39.891913746630728, 116.41172332942556)"
87,7598069,614863.0,0.011141303386,781,0.932944606414,"(39.970979335130281, 116.4902696365768)"
88,6829314,381185.0,0.0112549646032,884,0.933527696793,"(40.074752920035941, 116.58229777256741)"
89,7980028,281645.0,0.0113389451206,981,0.933819241983,"(39.932794249775384, 116.44454865181712)"
90,8748915,239666.0,0.0114104083976,891,0.934110787172,"(39.888319856244387, 116.3525205158265)"
91,9155544,212378.0,0.0114737349765,738,0.934499514091,"(39.930997304582206, 116.30386869871045)"
92,7754679,263992.0,0.0115524517467,977,0.934693877551,"(39.91437556154537, 116.47151230949591)"
93,8636393,238921.0,0.0116236928807,889,0.934888241011,"(39.94761904761905, 116.36600234466589)"
94,7754655,218284.0,0.0116887805026,805,0.93537414966,"(39.90359389038634, 116.47151230949591)"
95,8195576,280687.0,0.0117724753648,978,0.93556851312,"(39.948966756513926, 116.4187573270809)"
96,8954804,232458.0,0.0118417893704,850,0.935860058309,"(39.966037735849056, 116.32790152403282)"
97,8175858,301996.0,0.0119318381208,1086,0.936054421769,"(39.892362982929022, 116.421101992966)"
98,6795036,346213.0,0.0120350714353,788,0.936345966958,"(40.078346810422282, 116.58640093786636)"
99,9077098,331652.0,0.0121339629709,960,0.936345966958,"(39.895956873315363, 116.31324736225089)"
100,8249333,232202.0,0.0122032006427,788,0.936734693878,"(39.894609164420487, 116.41230949589684)"
101,7979788,485325.0,0.0123479141814,549,0.937414965986,"(39.824977538185081, 116.44454865181712)"
102,8533427,192726.0,0.012405380954,735,0.937900874636,"(39.89910152740341, 116.37831184056273)"
103,8273942,250048.0,0.0124799399215,902,0.938095238095,"(39.948068283917337, 116.40937866354045)"
