,Region,dVCR,VCR,dUCR,UCR,loc,meanVIT,VUH,meet,meanVUH
4800,8406049,99819.0,0.19440489438,396,1.0,"(39.885624438454627, 116.39355216881594)",1056.00036767,396,317.568415938,149.465111759
4801,8401040,119843.0,0.194440629001,292,1.0,"(39.835759209344111, 116.39413833528722)",1056.19447684,292,317.64101069,149.493488824
4802,8122066,101276.0,0.194470827338,414,1.0,"(39.930997304582206, 116.42754982415006)",1056.35851312,414,317.692225462,149.53372206
4803,6593279,392204.0,0.194587774186,3,1.0,"(39.656513926325246, 116.61043376318875)",1056.99376417,3,317.816229349,149.534013605
4804,8131802,120953.0,0.194623839784,468,1.0,"(39.904043126684634, 116.4263774912075)",1057.1896712,468,317.87755102,149.579494655
4805,8930315,108070.0,0.194656063948,417,1.0,"(39.966486972147351, 116.33083235638922)",1057.36471169,417,317.92808552,149.620019436
4806,9370964,169881.0,0.19470671883,7,1.0,"(39.889667565139263, 116.27807737397421)",1057.63986718,7,317.98260447,149.620699708
4807,7891784,131015.0,0.194745784702,556,1.0,"(39.896855345911945, 116.45509964830012)",1057.85207159,556,318.052283771,149.67473275
4808,10820692,203335.0,0.194806414851,1,1.0,"(39.853728661275831, 116.10457209847597)",1058.18141237,1,318.088241011,149.674829932
4809,8646080,113721.0,0.194840324022,459,1.0,"(39.898652291105122, 116.36483001172334)",1058.36560577,459,318.15393586,149.719436346
4810,7151891,63669.0,0.194859308757,67,1.0,"(39.764330637915542, 116.54361078546307)",1058.46873016,67,318.177842566,149.725947522
4811,8499157,91797.0,0.19488668066,345,1.0,"(39.906289308176099, 116.38241500586167)",1058.61741335,345,318.222934888,149.759475219
4812,7200707,295961.0,0.194974929902,3,1.0,"(39.690655884995508, 116.53774912075031)",1059.09678005,3,318.26851312,149.759766764
4813,8832197,117388.0,0.195009932494,445,1.0,"(39.895507637017069, 116.34255568581477)",1059.28691286,445,318.333333333,149.803012634
4814,8768564,128621.0,0.195048284526,510,1.0,"(39.913926325247076, 116.35017584994139)",1059.49523971,510,318.39552964,149.852575316
4815,8837344,265720.0,0.195127516549,11,1.0,"(40.007367475292, 116.34196951934349)",1059.9256252,11,318.479591837,149.853644315
4816,8263952,96887.0,0.195156406181,117,1.0,"(39.860916442048513, 116.41055099648301)",1060.08255264,117,318.518172983,149.865014577
4817,7891789,127689.0,0.195194480311,493,1.0,"(39.89910152740341, 116.45509964830012)",1060.28936994,493,318.581729835,149.91292517
4818,8195592,149005.0,0.195238910416,595,1.0,"(39.956154537286608, 116.4187573270809)",1060.53071267,595,318.678134111,149.970748299
4819,8180797,110147.0,0.195271753896,468,1.0,"(39.910781671159029, 116.42051582649474)",1060.70911727,468,318.735471331,150.016229349
4820,8788051,119284.0,0.195307321835,454,1.0,"(39.866756513926326, 116.34783118405628)",1060.90232102,454,318.806219631,150.060349854
4821,3278524,5190.0,0.195308869382,5,1.0,"(40.191554357592089, 117.00726846424385)",1060.91072724,5,318.811564626,150.060835763
4822,9185029,72366.0,0.195330447376,308,1.0,"(39.974573225516622, 116.30035169988277)",1061.02793813,308,318.857823129,150.090767736
4823,8288426,119248.0,0.19536600458,460,1.0,"(39.853728661275831, 116.40762016412661)",1061.22108358,460,318.920991254,150.135471331
4824,13471839,155088.0,0.195412248506,1,1.0,"(40.450763701707096, 115.78745603751466)",1061.47227891,1,318.971234208,150.135568513
4825,9145977,17287.0,0.195417403119,80,1.0,"(40.033872416891285, 116.30504103165299)",1061.50027859,80,318.982507289,150.143343052
4826,7779326,206341.0,0.195478929594,249,1.0,"(39.984905660377358, 116.46858147713951)",1061.83448818,249,319.09212828,150.167541302
4827,8548136,86928.0,0.195504849665,370,1.0,"(39.905840071877805, 116.37655334114889)",1061.97528507,370,319.145383868,150.203498542
4828,8073094,150718.0,0.19554979055,283,1.0,"(39.934591194968554, 116.43341148886284)",1062.21940233,283,319.213799806,150.231000972
4829,9537570,66182.0,0.195569524608,242,1.0,"(39.922911051212935, 116.25814771395076)",1062.32659702,242,319.253158406,150.25451895
4830,8543331,78140.0,0.195592824285,296,1.0,"(39.94761904761905, 116.37713950762017)",1062.45316003,296,319.288338192,150.283284742
4831,8014101,42580.0,0.195605520731,164,1.0,"(39.837106918238995, 116.44044548651817)",1062.52212666,164,319.307482993,150.299222546
4832,9096870,26681.0,0.195613476434,121,1.0,"(39.976819407008087, 116.31090269636577)",1062.56534176,121,319.322546161,150.310981535
4833,8170993,153670.0,0.195659297543,568,1.0,"(39.907187780772688, 116.42168815943728)",1062.81424036,568,319.394169096,150.366180758
4834,9008441,7695.0,0.195661592027,27,1.0,"(39.857771787960466, 116.32145369284878)",1062.82670392,27,319.399805637,150.368804665
4835,8768570,137220.0,0.195702508098,510,1.0,"(39.916621743036835, 116.35017584994139)",1063.04895854,510,319.462196307,150.418367347
4836,8068166,105991.0,0.195734112348,354,1.0,"(39.921114106019765, 116.43399765533412)",1063.22063168,354,319.523712342,150.452769679
4837,8866521,108738.0,0.195766535694,450,1.0,"(39.912578616352199, 116.33845252051583)",1063.39675413,450,319.591253644,150.496501458
4838,8023983,65844.0,0.195786168967,234,1.0,"(39.875741239892179, 116.43927315357563)",1063.50340136,234,319.621477162,150.519241983
4839,8945009,114571.0,0.19582033159,446,1.0,"(39.966486972147351, 116.32907385697538)",1063.68897149,446,319.679300292,150.562585034
4840,8798082,33850.0,0.195830424936,166,1.0,"(39.972327044025157, 116.34665885111372)",1063.74379819,166,319.697376093,150.578717201
4841,8440451,114470.0,0.195864557443,463,1.0,"(39.937735849056601, 116.389449003517)",1063.92920473,463,319.75675413,150.623712342
4842,1676826,1385.0,0.19586497042,1,1.0,"(40.168194070080858, 117.19894490035171)",1063.93144801,1,319.757823129,150.623809524
4843,9204446,65804.0,0.195884591766,252,1.0,"(39.895956873315363, 116.29800703399766)",1064.03803045,252,319.787366375,150.64829932
4844,7553472,238791.0,0.195955794137,1,1.0,"(39.739622641509435, 116.4955451348183)",1064.42479916,1,319.860641399,150.648396501
4845,7926199,110931.0,0.195988871389,431,1.0,"(39.954806828391732, 116.45099648300118)",1064.6044736,431,319.913896987,150.690281827
4846,8504015,92259.0,0.196016381051,391,1.0,"(39.888319856244387, 116.38182883939039)",1064.75390509,391,319.965208941,150.728279883
4847,7739723,120615.0,0.196052345865,8,1.0,"(39.796675651392633, 116.47327080890973)",1064.94926466,8,319.993197279,150.729057337
4848,8797974,62461.0,0.1960709704,255,1.0,"(39.923809523809524, 116.34665885111372)",1065.05043246,255,320.026822157,150.753838678
4849,8979121,7309.0,0.196073149787,7,1.0,"(39.888319856244387, 116.32497069167644)",1065.06227081,7,320.034499514,150.75451895
4850,8269009,124432.0,0.196110252749,543,1.0,"(39.932345013477089, 116.40996483001173)",1065.26381276,543,320.106899903,150.80728863
4851,7426737,24015.0,0.196117413509,90,1.0,"(40.015004492362984, 116.51078546307151)",1065.30270975,90,320.116520894,150.816034985
4852,11158123,10270.0,0.196120475803,2,1.0,"(39.615184186882296, 116.0641266119578)",1065.31934402,2,320.120408163,150.816229349
4853,9478903,222606.0,0.196186852153,23,1.0,"(39.971877807726862, 116.2651817116061)",1065.67989796,23,320.496404276,150.818464529
4854,6691756,167539.0,0.196236808701,5,1.0,"(39.888769092542674, 116.59871043376319)",1065.95126012,5,320.534596696,150.818950437
4855,3906290,246605.0,0.196310341039,2,1.0,"(40.560826594788857, 116.93223915592029)",1066.35068513,2,320.573663751,150.819144801
4856,6211809,159585.0,0.196357925874,1,1.0,"(39.91437556154537, 116.65615474794842)",1066.60916424,1,320.624392614,150.819241983
4857,11804913,52811.0,0.196373672985,1,1.0,"(39.729290206648699, 115.98675263774912)",1066.69470198,1,320.633430515,150.819339164
4858,8313171,108600.0,0.196406055184,320,1.0,"(39.968283917340521, 116.40468933177023)",1066.87060091,320,320.687949466,150.850437318
4859,7926200,142140.0,0.196448438293,363,1.0,"(39.955256064690026, 116.45099648300118)",1067.10082443,363,320.76909621,150.885714286
4860,8068135,123377.0,0.196485226676,481,1.0,"(39.907187780772688, 116.43399765533412)",1067.3006576,481,320.832555879,150.932458698
4861,8616668,121268.0,0.196521386201,493,1.0,"(39.887870619946092, 116.36834701055101)",1067.49707483,493,320.906705539,150.980369291
4862,8788412,74185.0,0.196543506582,89,1.0,"(40.02893081761006, 116.34783118405628)",1067.61723194,89,320.93877551,150.989018465
