,Region,dVCR,VCR,dUCR,UCR,loc
51,8288431,192941.0,0.00739314028933,715,0.917006802721,"(39.855974842767296, 116.40762016412661)"
52,8749038,128060.0,0.00743132504338,578,0.918172983479,"(39.943575920934407, 116.3525205158265)"
53,8998730,207079.0,0.00749307157377,768,0.919241982507,"(39.895956873315363, 116.32262602579134)"
54,8533427,192726.0,0.00755053834644,735,0.920213799806,"(39.89910152740341, 116.37831184056273)"
55,8543296,160398.0,0.00759836560069,587,0.921185617104,"(39.931895777178795, 116.37713950762017)"
56,8572781,90037.0,0.00762521270907,322,0.922157434402,"(39.975471698113203, 116.37362250879251)"
57,9155497,177964.0,0.00767827776896,705,0.923032069971,"(39.90988319856244, 116.30386869871045)"
58,6795036,346213.0,0.00778151108343,788,0.923906705539,"(40.078346810422282, 116.58640093786636)"
59,8778409,284613.0,0.00786637659493,773,0.924684159378,"(39.93593890386343, 116.34900351699883)"
60,6824419,352947.0,0.00797161784423,879,0.925461613217,"(40.076100628930817, 116.58288393903869)"
61,9155544,212378.0,0.00803494442313,738,0.926239067055,"(39.930997304582206, 116.30386869871045)"
62,7979788,485325.0,0.00817965796175,549,0.927016520894,"(39.824977538185081, 116.44454865181712)"
63,8773476,134327.0,0.0082197114012,589,0.927793974733,"(39.920215633423176, 116.34958968347011)"
64,7891798,220918.0,0.00828558442552,812,0.928571428571,"(39.903144654088052, 116.45509964830012)"
65,8264128,195402.0,0.00834384912417,787,0.92925170068,"(39.939982030548066, 116.41055099648301)"
66,8778399,358961.0,0.00845088361969,1175,0.929931972789,"(39.931446540880501, 116.34900351699883)"
67,8523607,203862.0,0.00851167090947,768,0.930612244898,"(39.888319856244387, 116.37948417350528)"
68,8964510,20968.0,0.00851792311876,72,0.931292517007,"(39.925606469002695, 116.32672919109028)"
69,8195475,564386.0,0.00868621095724,1308,0.931875607386,"(39.90359389038634, 116.4187573270809)"
70,8249344,268946.0,0.0087664049043,964,0.932458697765,"(39.899550763701704, 116.41230949589684)"
71,8572684,228592.0,0.00883456615135,885,0.933041788144,"(39.931895777178795, 116.37362250879251)"
72,9155502,151761.0,0.00887981803686,605,0.933624878523,"(39.912129380053905, 116.30386869871045)"
73,9155507,139840.0,0.00892151533504,550,0.934207968902,"(39.91437556154537, 116.30386869871045)"
74,8117229,139966.0,0.00896325020373,604,0.934791059281,"(39.958400718778073, 116.42813599062134)"
75,8269176,75942.0,0.00898589448447,248,0.93537414966,"(40.007367475292, 116.40996483001173)"
76,8969408,23276.0,0.00899283489002,75,0.935957240039,"(39.925606469002695, 116.326143024619)"
77,8082720,141089.0,0.0090349046133,519,0.936443148688,"(39.858221024258761, 116.43223915592029)"
78,8773492,175138.0,0.0090871270204,669,0.936929057337,"(39.927403414195865, 116.34958968347011)"
79,8205459,296348.0,0.009175491658,970,0.937414965986,"(39.988050314465404, 116.41758499413834)"
80,6971348,1802120.0,0.0097128453122,422,0.937900874636,"(40.071159029649593, 116.56529894490036)"
81,8435483,115026.0,0.00974714360611,454,0.938386783285,"(39.906289308176099, 116.39003516998828)"
82,9008510,93011.0,0.00977487749771,367,0.938872691934,"(39.888769092542674, 116.32145369284878)"
83,7921365,85181.0,0.00980027665072,394,0.939358600583,"(39.983557951482481, 116.45158264947246)"
84,7891861,137432.0,0.00984125593479,529,0.939844509232,"(39.931446540880501, 116.45509964830012)"
85,6834222,35663.0,0.0098518898789,84,0.940330417881,"(40.079245283018864, 116.58171160609614)"
86,7342954,25624.0,0.00985953040785,88,0.940719144801,"(39.782749326145549, 116.52075029308324)"
87,9287735,176438.0,0.00991214044716,497,0.94110787172,"(39.906289308176099, 116.28804220398594)"
