,Region,dVCR,VCR,dUCR,UCR,loc,meanVIT,VUH,meet,meanVUH
44,7896672,335178.0,0.00701651773286,1156,0.902235179786,"(39.892362982929022, 116.45451348182884)",38.1134710075,1156,11.6028182702,5.43187560739
45,9160391,239348.0,0.00708788618913,737,0.904081632653,"(39.90808625336927, 116.30328253223917)",38.5011418853,737,11.7440233236,5.50349854227
46,7891841,297028.0,0.0071764535882,1038,0.90592808552,"(39.922461814914641, 116.45509964830012)",38.9822367995,1038,11.8901846453,5.60437317784
47,8190677,282300.0,0.00726062941255,1044,0.906899902818,"(39.948517520215631, 116.41934349355218)",39.4394768384,1044,12.0407191448,5.70583090379
48,8249345,299525.0,0.00734994136362,1122,0.908260447036,"(39.899999999999999, 116.41230949589684)",39.9246161322,1122,12.2234207969,5.81486880466
49,8244429,337252.0,0.00745050269948,1221,0.909135082604,"(39.891913746630728, 116.41289566236811)",40.470861678,1221,12.4253644315,5.93352769679
50,9033172,284184.0,0.00753524029235,843,0.910592808552,"(39.966037735849056, 116.31852286049238)",40.9311532232,843,12.570845481,6.01545189504
51,8641291,283074.0,0.00761964690696,1076,0.911467444121,"(39.94761904761905, 116.36541617819461)",41.3896469064,1076,12.7263362488,6.12001943635
52,7989585,1316623.0,0.00801223573581,626,0.912925170068,"(39.825426774483375, 116.44337631887457)",43.5221752511,626,13.1752186589,6.18085519922
53,8778409,284613.0,0.0080971012473,773,0.914382896016,"(39.93593890386343, 116.34900351699883)",43.9831616456,773,13.3249757046,6.25597667638
54,8249326,306285.0,0.00818842888585,1095,0.915257531584,"(39.891464510332433, 116.41230949589684)",44.479250081,1095,13.5023323615,6.36239067055
55,6839100,443659.0,0.0083207185141,959,0.916229348882,"(40.070260557053011, 116.58112543962486)",45.1978425656,959,13.7037900875,6.45558794947
56,9106464,248039.0,0.00839467844076,800,0.9175898931,"(39.886073674752922, 116.30973036342321)",45.599590217,800,13.8530612245,6.53333333333
57,8773500,273438.0,0.00847621180619,982,0.917978620019,"(39.930997304582206, 116.34958968347011)",46.0424765144,982,13.984548105,6.62876579203
58,9096866,231885.0,0.00854535495542,808,0.918950437318,"(39.975022461814916, 116.31090269636577)",46.4180596048,808,14.1159378037,6.70728862974
59,7754665,277221.0,0.00862801633056,889,0.919922254616,"(39.90808625336927, 116.47151230949591)",46.8670732102,889,14.2513119534,6.79368318756
60,8533402,286999.0,0.00871359329625,1001,0.920505344995,"(39.887870619946092, 116.37831184056273)",47.3319241983,1001,14.4104956268,6.89096209913
61,8641290,288418.0,0.00879959337739,1031,0.920796890185,"(39.947169811320755, 116.36541617819461)",47.7990735342,1031,14.5562682216,6.99115646259
62,8024086,281874.0,0.00888364217765,1039,0.921379980564,"(39.922012578616354, 116.43927315357563)",48.2556235828,1039,14.7256559767,7.09212827988
63,6858640,364560.0,0.00899234617526,1208,0.921768707483,"(40.04690026954178, 116.57878077373975)",48.8460997732,1208,14.9033041788,7.20952380952
64,9052607,458666.0,0.00912911057006,1109,0.922157434402,"(39.895507637017069, 116.31617819460728)",49.5889990282,1109,15.1796890185,7.31729834791
