,Region,dVCR,VCR,dUCR,UCR,loc,meanVIT,VUH,meet,meanVUH
651,8170841,60842.0,0.0287187481486,205,1.0,"(39.838903863432165, 116.42168815943728)",155.99920311,205,53.8434402332,19.9003887269
652,8249468,83251.0,0.0287435718169,337,1.0,"(39.955256064690026, 116.41230949589684)",156.13404438,337,53.887755102,19.9331389699
653,6211776,5325.0,0.028745159618,10,1.0,"(39.899550763701704, 116.65615474794842)",156.142669258,10,53.8922254616,19.9341107872
654,9234028,47540.0,0.0287593350296,190,1.0,"(39.983108715184187, 116.29449003517)",156.219669582,190,53.91797862,19.9525753158
655,8788045,76028.0,0.0287820049537,157,1.0,"(39.864061096136567, 116.34783118405628)",156.342811791,157,53.9584062196,19.9678328474
656,8435575,67827.0,0.0288022295149,270,1.0,"(39.94761904761905, 116.39003516998828)",156.452670878,270,53.9885325559,19.9940719145
657,8636300,57799.0,0.028819463941,235,1.0,"(39.905840071877805, 116.36600234466589)",156.546287658,235,54.0152575316,20.016909621
658,8744062,32516.0,0.028829159517,132,1.0,"(39.908535489667564, 116.35310668229778)",156.598953677,132,54.0351797862,20.0297376093
659,9224053,45124.0,0.028842614529,77,1.0,"(39.902695417789758, 116.29566236811254)",156.672040816,77,54.0621963071,20.0372206025
660,8126776,40216.0,0.0288546060804,97,1.0,"(39.846540880503142, 116.42696365767878)",156.73717849,97,54.0895043732,20.0466472303
661,9268181,15437.0,0.0288592090637,66,1.0,"(39.92336028751123, 116.29038686987104)",156.76218173,66,54.0963070943,20.0530612245
662,8136653,69056.0,0.0288798000865,303,1.0,"(39.882929020664868, 116.42579132473622)",156.874031422,303,54.1451895044,20.0825072886
663,7882161,43165.0,0.0288926709666,188,1.0,"(39.974573225516622, 116.45627198124268)",156.943945578,188,54.166180758,20.1007774538
664,8856726,50826.0,0.0289078261931,228,1.0,"(39.913027852650494, 116.33962485345839)",157.026268222,228,54.2055393586,20.1229348882
665,10497168,6514.0,0.0289097685287,19,1.0,"(39.738724168912846, 116.14325908558031)",157.036818918,19,54.2081632653,20.1247813411
666,6867891,2270.0,0.0289104453941,10,1.0,"(39.802066486972144, 116.57760844079719)",157.040495627,10,54.2095238095,20.1257531584
667,7945729,73956.0,0.0289324974921,324,1.0,"(39.926954177897571, 116.44865181711607)",157.160281827,324,54.260447036,20.1572400389
668,7740142,25943.0,0.0289402331401,60,1.0,"(39.984905660377358, 116.47327080890973)",157.202301587,60,54.2759961127,20.1630709427
