,Region,dVCR,VCR,UCR,loc,meanVIT,VUH,meanVUH
57,7475706,891410.0,0.0168564515436,0.873177842566,"(40.010062893081759, 116.50492379835875)",5493.28432611,96,4.2375862404
58,7500191,880990.0,0.0171191439258,0.873177842566,"(40.007816711590294, 116.50199296600235)",5578.89213876,58,4.24322223302
59,9072198,494592.0,0.0172666206857,0.87628765792,"(39.895058400718774, 116.31383352872216)",5626.95277427,1092,4.34933436984
60,7588248,700401.0,0.0174754652892,0.877551020408,"(39.959748427672956, 116.49144196951934)",5695.01234088,385,4.38674570013
61,8538177,827179.0,0.0177221123817,0.877648202138,"(39.832614555256065, 116.37772567409145)",5775.39121563,327,4.4185210378
62,8195475,564386.0,0.0178904002201,0.879786200194,"(39.90359389038634, 116.4187573270809)",5830.23389369,1308,4.54562238849
63,8078004,386001.0,0.0180054974655,0.883187560739,"(39.939982030548066, 116.43282532239157)",5867.74249344,1299,4.67184918861
64,6829325,520148.0,0.0181605944782,0.885325558795,"(40.079694519317158, 116.58229777256741)",5918.2864639,1283,4.79652123214
65,7598069,614863.0,0.0183439334789,0.886491739553,"(39.970979335130281, 116.4902696365768)",5978.03410747,781,4.87241278787
66,7480603,734804.0,0.0185630363214,0.886686103013,"(40.009613656783465, 116.50433763188747)",6049.43669226,85,4.88067243222
67,8528505,332153.0,0.0186620772445,0.890087463557,"(39.888319856244387, 116.37889800703401)",6081.71275872,1196,4.99689048683
68,7411766,626960.0,0.0188490233119,0.890962099125,"(39.890566037735844, 116.51254396248535)",6142.63589544,104,5.00699640463
69,7994484,668025.0,0.0190482140844,0.891350826045,"(39.82587601078167, 116.44279015240329)",6207.54941211,385,5.04440773491
70,6966453,681069.0,0.0192512942987,0.891545189504,"(40.072506738544476, 116.56588511137164)",6273.73044408,197,5.06355067535
71,7495294,657686.0,0.0194474022024,0.891739552964,"(40.008265947888589, 116.50257913247363)",6337.63929647,37,5.06714604995
72,8641292,364893.0,0.0195562054935,0.89426627794,"(39.948068283917337, 116.36541617819461)",6373.0967836,1121,5.17607618307
73,7602966,645688.0,0.0197487358501,0.894460641399,"(39.970530098831986, 116.48968347010552)",6435.8397629,209,5.19638519094
74,8170985,656547.0,0.0199445041284,0.894557823129,"(39.90359389038634, 116.42168815943728)",6499.63793606,844,5.27839860072
75,7436525,632132.0,0.0201329923756,0.894752186589,"(40.011410601976635, 116.50961313012897)",6561.06364785,224,5.30016519289
76,8940114,602521.0,0.0203126512558,0.895140913508,"(39.967834681042227, 116.32966002344666)",6619.61199106,254,5.32484695365
77,8068394,592413.0,0.0204892961464,0.895529640428,"(40.023539982030549, 116.43399765533412)",6677.1781168,32,5.32795646682
78,9062406,321077.0,0.0205850344431,0.898056365403,"(39.896855345911945, 116.31500586166472)",6708.37790302,964,5.42163055097
79,7289486,615494.0,0.0207685615945,0.898153547133,"(39.966936208445638, 116.5271981242673)",6768.18686231,41,5.42561461471
80,6971351,615357.0,0.0209520478954,0.898250728863,"(40.072506738544476, 116.56529894490036)",6827.98250899,187,5.44378583228
81,7984926,302937.0,0.0210423772319,0.900874635569,"(39.932794249775384, 116.44396248534585)",6857.41958993,1084,5.54912059081
82,6848910,461894.0,0.0211801041473,0.902137998056,"(40.076549865229111, 116.5799531066823)",6902.30288602,1210,5.66669905743
83,7979788,485325.0,0.0213248176859,0.903012633625,"(39.824977538185081, 116.44454865181712)",6949.46302595,549,5.7200466427
84,7205751,579157.0,0.0214975099208,0.903109815355,"(39.756244384546271, 116.53716295427903)",7005.74103586,10,5.72101836556
85,8778409,284613.0,0.0215823754323,0.905539358601,"(39.93593890386343, 116.34900351699883)",7033.39753182,773,5.796132543
86,9052607,458666.0,0.0217191398271,0.906511175899,"(39.895507637017069, 116.31617819460728)",7077.96715577,1109,5.90389660869
87,8386274,548527.0,0.0218826988508,0.906705539359,"(39.803414195867028, 116.39589683470106)",7131.26877854,215,5.92478865028
88,8068393,567349.0,0.0220518701926,0.906705539359,"(40.023090745732254, 116.43399765533412)",7186.3993781,30,5.92770381887
89,7539250,561475.0,0.0222192900331,0.906705539359,"(39.951662174303685, 116.49730363423213)",7240.95918764,41,5.93168788262
90,6961555,548038.0,0.0223827032475,0.906802721088,"(40.072506738544476, 116.56647127784291)",7294.21329317,161,5.94733262074
91,7656797,535324.0,0.0225423254189,0.906997084548,"(39.94941599281222, 116.48323563892146)",7346.23195025,145,5.96142260227
92,7544180,533357.0,0.022701361073,0.907191448008,"(39.966037735849056, 116.49671746776085)",7398.05946944,223,5.98309202216
93,9018660,529513.0,0.0228592505285,0.907385811467,"(40.047798742138362, 116.32028135990622)",7449.51345836,43,5.98727043047
94,6760244,538909.0,0.0230199416702,0.907482993197,"(39.851033243486071, 116.5905041031653)",7501.88047809,5,5.98775629191
95,8249327,356799.0,0.0231263315036,0.909037900875,"(39.891913746630728, 116.41230949589684)",7536.55145273,1268,6.11097075114
96,6844012,474378.0,0.0232677808809,0.909620991254,"(40.076549865229111, 116.58053927315358)",7582.64784763,1223,6.22981245749
97,7064500,528019.0,0.0234252248575,0.909718172983,"(40.111590296495955, 116.55416178194608)",7633.95666116,2,6.23000680206
98,9498502,527997.0,0.0235826622741,0.909815354713,"(39.975022461814916, 116.26283704572099)",7685.2633369,14,6.23136721407
99,8043411,520871.0,0.02373797487,0.909912536443,"(39.802066486972144, 116.43692848769051)",7735.87756292,7,6.23204742008
100,7994608,532557.0,0.0238967719812,0.909912536443,"(39.881581311769992, 116.44279015240329)",7787.62734428,5,6.23253328151
101,8068170,337316.0,0.0239973524005,0.911467444121,"(39.922911051212935, 116.43399765533412)",7820.40511126,1203,6.34943154212
102,7558804,504017.0,0.0241476394939,0.91166180758,"(39.934591194968554, 116.49495896834702)",7869.38159557,141,6.36313283452
103,9184887,509448.0,0.0242995459953,0.91175898931,"(39.910781671159029, 116.30035169988277)",7918.88582256,8,6.36391021281
